anime_id,title,type,score,members,favorites,genres,themes,demographics,studios
2458,Kimagure Orange☆Road OVA,ova,7.37,7874,17,"['Comedy', 'Drama', 'Romance']",['School'],['Shounen'],['Pierrot']
2558,Wakakusa Monogatari: Nan to Jo-sensei,tv,7.56,6431,44,"['Drama', 'Slice of Life']","['Historical', 'School']",[],['Nippon Animation']
3032,Digimon Tamers: Boukensha-tachi no Tatakai,movie,6.96,21532,6,"['Adventure', 'Drama', 'Sci-Fi']",[],[],['Toei Animation']
31884,Mahoutsukai Precure!,tv,7.28,13110,114,"['Action', 'Fantasy']",['Mahou Shoujo'],[],['Toei Animation']
34901,Beyblade Burst God,tv,7.0,16902,114,"['Action', 'Adventure', 'Sci-Fi', 'Sports']",[],['Kids'],['OLM']
21177,Nobunaga the Fool,tv,6.64,97921,163,"['Action', 'Sci-Fi']","['Historical', 'Mecha']",[],['Satelight']
38330,Kimi Omou Koi,ova,7.2,12654,68,['Hentai'],[],[],['New Generation']
7082,Shugo Chara! Party!,tv,6.65,72176,171,"['Comedy', 'Fantasy']","['Mahou Shoujo', 'School']",['Shoujo'],['Satelight']
13377,Recorder to Randoseru Re♪,tv,6.82,29608,7,"['Comedy', 'Slice of Life']",['School'],['Seinen'],['Seven']
5097,Hatsu Inu 2 The Animation: Strange Kind of Woman - Again,ova,7.11,14825,50,['Hentai'],[],[],['Office Take Off']
620,Takahashi Rumiko Gekijou Ningyo no Mori,tv,7.02,26766,87,"['Drama', 'Fantasy', 'Horror', 'Mystery']",[],['Shounen'],['TMS Entertainment']
2294,Kidou Senshi Gundam SEED Destiny Special Edition,special,7.23,11430,22,"['Action', 'Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Space']",[],['Sunrise']
3009,Tiger Mask,tv,7.31,10235,73,"['Drama', 'Sports']",['Combat Sports'],['Shounen'],['Toei Animation']
1651,Uchuu Senkan Yamato 2,tv,7.47,8391,28,"['Action', 'Adventure', 'Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",[],['Group TAC']
20649,Kimi no Iru Machi OVA,ova,7.03,19004,15,"['Drama', 'Romance']",['Love Polygon'],['Shounen'],['Gonzo']
941,Renkin San-kyuu Magical? Pokaan,tv,6.98,32211,135,"['Comedy', 'Ecchi']","['CGDCT', 'Gag Humor', 'Parody', 'Vampire']",[],['Remic']
670,Lamune,tv,6.8,41135,68,"['Drama', 'Romance']",[],[],"['Trinet Entertainment', 'Picture Magic']"
36561,Doupo Cangqiong Specials,ona,7.53,4799,25,"['Action', 'Adventure', 'Fantasy']",['Mythology'],[],['Motion Magic']
15841,Tsun Tsun Maid wa Ero Ero desu,ova,7.07,17862,89,['Hentai'],[],[],['Studio 1st']
33672,Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,movie,7.44,5380,3,"['Adventure', 'Comedy', 'Fantasy']",[],"['Kids', 'Shounen']",['Shin-Ei Animation']
1439,Lupin III: Walther P38,special,7.34,8397,16,"['Action', 'Adventure', 'Comedy', 'Mystery']",['Adult Cast'],['Seinen'],['Tokyo Movie Shinsha']
28961,Idol☆Sister,ova,7.06,16815,106,['Hentai'],"['Harem', 'Music']",[],['Silver']
34580,Nana Maru San Batsu,tv,6.67,74981,74,[],"['School', 'Strategy Game']",['Seinen'],['TMS Entertainment']
3859,Top Secret: The Revelation,tv,7.28,19058,71,"['Mystery', 'Sci-Fi']","['Detective', 'Psychological']",['Shoujo'],['Madhouse']
2675,Doraemon Movie 17: Nobita to Ginga Express,movie,7.22,7932,5,['Fantasy'],[],[],['Shin-Ei Animation']
50481,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",tv,6.57,124013,571,"['Action', 'Fantasy']",['Reincarnation'],[],['Studio Comet']
1608,Salaryman Kintarou,tv,7.41,9936,36,"['Comedy', 'Drama']",['Martial Arts'],['Seinen'],['JCF']
29808,Namaiki: Kissuisou e Youkoso! The Animation,ova,7.13,16091,97,['Hentai'],[],[],['G-Lam']
6165,White Album 2nd Season,tv,6.77,50225,72,"['Drama', 'Romance']","['Harem', 'Idols (Female)', 'Music']",[],['Seven Arcs']
6581,Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!,special,7.16,12683,11,['Action'],"['Historical', 'Martial Arts', 'Samurai']",[],['Production I.G']
9618,Asobi ni Iku yo!: Asobi ni Oide,ova,6.74,46866,45,"['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",['Harem'],[],['AIC PLUS+']
